,Neighbors,Dimensions,Calinski,Silhouette,Runtime_tSNE,Runtime_clustering
0,8,2,8544,0.649,348.6,1.4
1,8,3,5321,0.599,348.6,2.1
2,8,5,2216,0.624,348.6,4.7
3,8,8,1264,0.635,348.6,1.4
4,8,10,611,0.608,348.6,1.7
5,8,15,271,0.476,348.6,3.4
6,8,20,185,0.401,348.6,4.4
7,10,2,7323,0.635,348.6,1.4
8,10,3,4838,0.612,348.6,1.5
9,10,5,1965,0.623,348.6,3.7
10,10,8,1155,0.629,348.6,2.6
11,10,10,578,0.604,348.6,2.0
12,10,15,248,0.453,348.6,2.6
13,10,20,155,0.365,348.6,5.1
14,15,2,5346,0.59,348.6,1.5
15,15,3,4259,0.601,348.6,1.7
16,15,5,1792,0.603,348.6,1.6
17,15,8,1073,0.619,348.6,4.4
18,15,10,578,0.607,348.6,2.7
19,15,15,256,0.458,348.6,2.6
20,15,20,145,0.354,348.6,6.3
21,20,2,5614,0.615,348.6,2.0
22,20,3,4134,0.598,348.6,1.4
23,20,5,1634,0.6,348.6,5.2
24,20,8,989,0.61,348.6,1.4
25,20,10,615,0.594,348.6,2.6
26,20,15,275,0.48,348.6,3.5
27,20,20,158,0.372,348.6,4.5
28,40,2,4546,0.574,348.6,1.6
29,40,3,4130,0.59,348.6,1.5
30,40,5,1723,0.606,348.6,4.6
31,40,8,1157,0.643,348.6,1.6
32,40,10,692,0.622,348.6,2.7
33,40,15,258,0.474,348.6,5.7
34,40,20,152,0.38,348.6,2.6
35,50,2,4461,0.65,348.6,1.5
36,50,3,4119,0.595,348.6,3.1
37,50,5,1726,0.617,348.6,3.8
38,50,8,1221,0.653,348.6,1.5
39,50,10,706,0.632,348.6,2.5
40,50,15,255,0.47,348.6,6.4
41,50,20,153,0.387,348.6,2.8
